Price,Open,Open,Close,Close,Volume,Volume
Ticker,BEL.NS,BHEL.NS,BEL.NS,BHEL.NS,BEL.NS,BHEL.NS
Date,,,,,,
2022-02-14,62.733868372987764,54.63393647535189,62.383583068847656,52.55735397338867,31961610,26510266
2022-02-15,62.47911889764071,53.39787453140307,63.35484313964844,54.1889533996582,10746255,20300727
2022-02-16,63.60960022092141,54.6833778060269,63.370765686035156,54.4856071472168,13420629,17655412
2022-02-17,63.450369298464175,54.68337947096459,64.00765228271484,53.64508819580078,19166469,45900731
2022-02-18,63.689208984375,53.6450860057049,63.689208984375,52.8045654296875,10616886,17873081
2022-02-21,63.05231639034129,52.40902490899114,63.1000862121582,49.9369010925293,10470885,44296864
2022-02-22,62.09698153160744,49.14582153957182,62.84532928466797,48.89860916137695,20409699,51316741
2022-02-23,62.861252497521264,49.195265588204784,63.370765686035156,49.09638214111328,10145349,31779044
2022-02-24,62.319883193778885,47.41534117510364,59.82008361816406,43.8554801940918,24915339,48563259
2022-02-25,61.412315839229215,47.069235521600824,63.73697280883789,47.61310577392578,22461840,61882199
2022-02-28,62.749790529958034,47.464777372424194,67.0169677734375,49.29414749145508,35587689,41519924
2022-03-02,66.09347935477854,49.145821102783785,68.78434753417969,49.838016510009766,51608091,33734292
2022-03-03,69.4212392661879,50.53020872291699,68.48182678222656,49.88745880126953,28625697,25803995
2022-03-04,68.14745445311873,49.39303485371602,68.43405151367188,48.651397705078125,46128378,25945200
